file_id,genus,species,english_cname,who_provided_recording,country,latitude,longitute,type,license,file_length
83894,Calidris,alpina,Dunlin,Patrik berg,Iceland,63.921,-20.764,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,46.811201814058954
156388,Caprimulgus,europaeus,European Nightjar,Jack Berteau,France,46.5874,0.2243,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,46.10589569160998
67229,Caprimulgus,europaeus,European Nightjar,Patrik berg,Sweden,58.4762,14.3726,Song,http://creativecommons.org/licenses/by-nc-sa/3.0/,41.97854875283447
27039,Caprimulgus,europaeus,European Nightjar,Patrik berg,Sweden,58.4392,14.3298,Song,http://creativecommons.org/licenses/by-nc-sa/3.0/,73.24712018140589
133880,Carduelis,carduelis,European Goldfinch,Mike Nelson,United Kingdom,55.9937,-3.5605,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,14.680589569160997
97792,Carduelis,carduelis,European Goldfinch,Richard Dunn,United Kingdom,55.239,-1.566,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,38.26916099773243
133886,Carduelis,carduelis,European Goldfinch,Mike Nelson,United Kingdom,56.0058,-3.5162,"flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,24.894467120181407
70129,Certhia,familiaris,Eurasian Treecreeper,Paul Driver,United Kingdom,51.721,-0.145,"song, flight  and contact calls",http://creativecommons.org/licenses/by-nc-nd/2.5/,29.883854875283447
130409,Certhia,familiaris,Eurasian Treecreeper,Jelmer Poelstra,Sweden,60.257,17.2172,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,158.77201814058958
146753,Certhia,familiaris,Eurasian Treecreeper,David Darrell-Lambert,United Kingdom,51.5826,-0.1426,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,13.511791383219954
28961,Chloris,chloris,European Greenfinch,Stuart Fisher,United Kingdom,51.5278,-0.01,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,35.08222222222222
99155,Chloris,chloris,European Greenfinch,Tony Whitehead,United Kingdom,50.486,-3.656,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,33.80222222222222
124013,Chloris,chloris,European Greenfinch,Ashley Fisher,United Kingdom,49.9168,-6.3027,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,31.111609977324264
129576,Chroicocephalus,ridibundus,Black-headed Gull,Alexandre Renaudier,France,46.401,6.514,"alarm call, call, flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,52.24777777777778
129577,Chroicocephalus,ridibundus,Black-headed Gull,Alexandre Renaudier,France,46.401,6.514,"alarm call, call, flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,55.75179138321995
143894,Chroicocephalus,ridibundus,Black-headed Gull,Dan Stowell,United Kingdom,55.9104,-3.3199,song,http://creativecommons.org/licenses/by-sa/3.0/,62.6936507936508
121691,Coloeus,monedula,Western Jackdaw,Jarek Matusiak,Poland,52.2776,20.9679,"call, flight call",http://creativecommons.org/licenses/by-nc-sa/3.0/,71.18378684807256
156262,Coloeus,monedula,Western Jackdaw,Andre et Odile BOUCHER,France,43.711,5.3928,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,105.37773242630385
121735,Coloeus,monedula,Western Jackdaw,Volker Arnold,Germany,54.191,9.106,flight call,http://creativecommons.org/licenses/by-nc-sa/3.0/,6.687120181405896
92264,Columba,livia,Rock Dove,Herman van der Meer,Netherlands,52.0775,4.3249,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,40.12385487528345
116226,Columba,livia,Rock Dove,Jarek Matusiak,Poland,52.2129,21.0353,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,5.276734693877551
121677,Columba,livia,Rock Dove,Jarek Matusiak,Poland,52.2776,20.9679,"alarm call, alarm clapping with wings",http://creativecommons.org/licenses/by-nc-sa/3.0/,4.77578231292517
89994,Columba,oenas,Stock Dove,Herman van der Meer,Netherlands,52.129,4.332,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,100.67569160997732
82971,Columba,oenas,Stock Dove,Volker Arnold,Germany,54.147,9.222,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,8.385079365079365
77429,Columba,oenas,Stock Dove,Niels Krabbe,Sweden,56.4334,12.5667,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,108.69551020408163
130993,Columba,palumbus,Common Wood Pigeon,Ashley Fisher,United Kingdom,49.9172,-6.3034,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,14.184263038548753
94614,Columba,palumbus,Common Wood Pigeon,Frank Lambert,United Kingdom,50.8889,0.422,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,157.75179138321997
94615,Columba,palumbus,Common Wood Pigeon,Frank Lambert,United Kingdom,50.8889,0.422,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,34.89578231292517
42224,Corvus,corax,Northern Raven,Jarek Matusiak,Poland,49.0881,22.8128,call (call and acrobatic call),http://creativecommons.org/licenses/by-nc-nd/2.5/,27.036507936507938
143170,Corvus,corax,Northern Raven,Matthias Hemprich,Germany,47.693,9.4287,call,http://creativecommons.org/licenses/by-nc-sa/3.0/,34.50775510204082
64735,Corvus,corax,Northern Raven,Patrik berg,Sweden,58.3667,14.2667,Call and 'song',http://creativecommons.org/licenses/by-nc-sa/3.0/,133.87732426303856
96464,Corvus,corone,Carrion Crow,Matthias Feuersenger,Germany,49.4901,8.477,call,http://creativecommons.org/licenses/by-nc-nd/2.5/,6.425895691609977
98400,Corvus,corone,Carrion Crow,Volker Arnold,Germany,54.265,9.138,alarm call,http://creativecommons.org/licenses/by-nc-nd/2.5/,86.0471201814059
96133,Corvus,corone,Carrion Crow,Herman van der Meer,Netherlands,52.123,4.338,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,67.10834467120182
27145,Corvus,frugilegus,Rook,Patrik berg,Sweden,55.6289,13.7128,Call,http://creativecommons.org/licenses/by-nc-sa/3.0/,43.23242630385487
143002,Corvus,frugilegus,Rook,Andre et Odile BOUCHER,France,45.398,4.2902,"call, flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,40.09773242630386
143005,Corvus,frugilegus,Rook,Andre et Odile BOUCHER,France,45.398,4.2902,"call, flight call, juvenile, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,33.38426303854875
33392,Cuculus,canorus,Common Cuckoo,Mark Harper,United Kingdom,53.2112,-1.0717,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,13.505079365079364
37447,Cuculus,canorus,Common Cuckoo,David Farrow,United Kingdom,52.65806,1.051941,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,38.948344671201816
134671,Cuculus,canorus,Common Cuckoo,Ashley Fisher,United Kingdom,49.9092,-6.3039,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,18.180997732426302
42178,Cyanistes,caeruleus,Eurasian Blue Tit,Stuart Fisher,United Kingdom,51.5501,0.0137,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,36.57142857142857
44203,Cyanistes,caeruleus,Eurasian Blue Tit,Stuart Fisher,United Kingdom,51.5501,0.0137,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,95.320589569161
131316,Cyanistes,caeruleus,Eurasian Blue Tit,Dan Stowell,United Kingdom,51.5934,0.0256,song,http://creativecommons.org/licenses/by-sa/3.0/,53.10671201814059
148465,Delichon,urbicum,Common House Martin,Patrik berg,Spain,39.8427,-5.9972,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,104.41120181405896
133444,Delichon,urbicum,Common House Martin,Roberto Lerco,Italy,45.6851,11.0856,"flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,72.41120181405896
142697,Delichon,urbicum,Common House Martin,Fernand DEROUSSEN,France,42.5816,2.7787,"alarm call, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,46.78507936507936
148528,Dendrocopos,major,Great Spotted Woodpecker,Stein . Nilsen,Norway,69.5778,18.6401,"call, drumming, juvenile",http://creativecommons.org/licenses/by-nc-sa/3.0/,12.747528344671203
98172,Dendrocopos,major,Great Spotted Woodpecker,Jelmer Poelstra,Sweden,60.297,16.913,drum,http://creativecommons.org/licenses/by-nc-nd/2.5/,44.094467120181406
72629,Dendrocopos,major,Great Spotted Woodpecker,Volker Arnold,Germany,54.1498,9.2039,call,http://creativecommons.org/licenses/by-nc-nd/2.5/,14.49795918367347
130426,Dryocopus,martius,Black Woodpecker,Jelmer Poelstra,Sweden,60.2513,17.1808,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,16.038956916099774
98942,Dryocopus,martius,Black Woodpecker,Filip Verbelen,Belgium,50.958,3.727,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,10.344263038548753
155975,Dryocopus,martius,Black Woodpecker,Jack Berteau,France,46.5966,0.1988,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,52.31977324263038
123168,Emberiza,calandra,Corn Bunting,david m,United Kingdom,54.1243,-0.557,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.54018140589568
125777,Emberiza,calandra,Corn Bunting,david m,United Kingdom,54.1242,-0.5543,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,251.1671201814059
123167,Emberiza,calandra,Corn Bunting,david m,United Kingdom,54.1243,-0.557,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.8797732426304
102106,Emberiza,citrinella,Yellowhammer,Richard Dunn,United Kingdom,55.1089,-1.7028,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,27.062630385487527
102107,Emberiza,citrinella,Yellowhammer,Richard Dunn,United Kingdom,55.1089,-1.7028,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,88.42426303854876
145533,Emberiza,citrinella,Yellowhammer,Patrik berg,United Kingdom,52.9382,1.1089,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,71.02671201814059
102048,Emberiza,schoeniclus,Common Reed Bunting,Richard Dunn,United Kingdom,55.07,-1.6059,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,24.42426303854875
102803,Emberiza,schoeniclus,Common Reed Bunting,Richard Dunn,United Kingdom,55.2809,-1.5801,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,46.262630385487526
86327,Emberiza,schoeniclus,Common Reed Bunting,David Farrow,United Kingdom,52.497,0.722,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,49.00548752834467
70124,Erithacus,rubecula,European Robin,Paul Driver,United Kingdom,51.721,-0.145,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,42.370385487528345
30390,Erithacus,rubecula,European Robin,Stuart Fisher,United Kingdom,51.317,-0.5592,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,195.86589569160998
133862,Erithacus,rubecula,European Robin,Mike Nelson,United Kingdom,55.9937,-3.5605,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,76.98263038548752
42803,Fringilla,coelebs,Common Chaffinch,Stuart Fisher,United Kingdom,51.5676,0.0451,'plastic' song/subsong,http://creativecommons.org/licenses/by-nc-nd/2.5/,75.33691609977325
122548,Fringilla,coelebs,Common Chaffinch,Ashley Fisher,United Kingdom,49.9172,-6.3034,"call, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,81.65854875283446
121597,Fringilla,coelebs,Common Chaffinch,david m,United Kingdom,54.1245,-0.5722,"call, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,208.50916099773244
31059,Fulica,atra,Eurasian Coot,Rombout de Wijs,Netherlands,52.2962,5.1231,agitation calls,http://creativecommons.org/licenses/by-nc-nd/2.5/,27.67167800453515
44707,Fulica,atra,Eurasian Coot,Stuart Fisher,United Kingdom,51.5031,-0.1334,Typical calls in mild aggression,http://creativecommons.org/licenses/by-nc-nd/2.5/,15.124671201814058
130639,Fulica,atra,Eurasian Coot,maudoc,Italy,45.1945,11.0393,call,http://creativecommons.org/licenses/by-nc-nd/3.0/,33.82857142857143
27080,Gallinago,gallinago,Common Snipe,Patrik berg,Sweden,58.3714,14.1395,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,29.021814058956917
90977,Gallinago,gallinago,Common Snipe,Lars Lachmann,Poland,53.5001,22.7334,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,28.473469387755102
135270,Gallinago,gallinago,Common Snipe,Jelmer Poelstra,Sweden,60.0947,17.5442,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,22.308344671201812
89530,Gallinula,chloropus,Common Moorhen,Herman van der Meer,Netherlands,52.106,4.405,Call,http://creativecommons.org/licenses/by-nc-nd/2.5/,6.347528344671201
26789,Gallinula,chloropus,Common Moorhen,Patrik berg,Sweden,58.5731,14.2489,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,166.45201814058956
82701,Gallinula,chloropus,Common Moorhen,Christoph Bock,Germany,53.49821715,13.53323364,Territorial or agitation calls,http://creativecommons.org/licenses/by-nc-nd/2.5/,82.62530612244898
127136,Garrulus,glandarius,Eurasian Jay,"Hemprich,M.",Germany,47.6773,9.3935,"imitation, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,17.78938775510204
142908,Garrulus,glandarius,Eurasian Jay,Matthias Hemprich,Germany,47.6525,9.4569,"migrant bird, song, subsong",http://creativecommons.org/licenses/by-nc-sa/3.0/,22.099591836734692
46223,Garrulus,glandarius,Eurasian Jay,Ruud van Beusekom,Netherlands,52.3048,5.2028,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,83.59160997732427
58571,Gavia,stellata,Red-throated Loon,Patrik berg,Sweden,59.793,14.482,territorial call and song,http://creativecommons.org/licenses/by-nc-sa/3.0/,63.007120181405895
58573,Gavia,stellata,Red-throated Loon,Patrik berg,Sweden,59.793,14.482,territorial call and song,http://creativecommons.org/licenses/by-nc-sa/3.0/,80.06507936507937
58579,Gavia,stellata,Red-throated Loon,Patrik berg,Sweden,59.793,14.482,terrotorial  call and song,http://creativecommons.org/licenses/by-nc-sa/3.0/,174.86344671201815
53817,Haematopus,ostralegus,Eurasian Oystercatcher,Niels Krabbe,Sweden,56.4334,12.5667,song 4 birds in flight,http://creativecommons.org/licenses/by-nc-sa/3.0/,78.02775510204081
25754,Haematopus,ostralegus,Eurasian Oystercatcher,Niels Krabbe,Denmark,55.8334,10.6001,songs of group of 3 birds,http://creativecommons.org/licenses/by-nc-sa/3.0/,38.32163265306122
76241,Haematopus,ostralegus,Eurasian Oystercatcher,Volker Arnold,Germany,54.068,8.976,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,60.969569160997736
157322,Hirundo,rustica,Barn Swallow,david m,United Kingdom,54.12,-0.5445,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,154.5597732426304
157331,Hirundo,rustica,Barn Swallow,david m,United Kingdom,54.12,-0.5445,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.5597732426304
157279,Hirundo,rustica,Barn Swallow,david m,United Kingdom,54.12,-0.5445,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,125.01578231292517
108002,Jynx,torquilla,Eurasian Wryneck,Jelmer Poelstra,Sweden,59.9128,17.6201,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,40.4637641723356
133054,Jynx,torquilla,Eurasian Wryneck,Jarek Matusiak,Poland,52.3603,20.9157,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,175.0465306122449
133471,Jynx,torquilla,Eurasian Wryneck,Lars Lachmann,Germany,52.5245,13.0124,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,166.29551020408164
130283,Lagopus,lagopus,Willow Ptarmigan,Stein . Nilsen,Norway,69.5778,18.6401,"Display, call, lekking, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,175.15179138321994
149806,Lagopus,lagopus,Willow Ptarmigan,Jens Kirkeby,Norway,69.6365,18.8518,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,41.39977324263039
71943,Lagopus,lagopus,Willow Ptarmigan,Richard Dunn,United Kingdom,54.813,-2.254,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,7.967120181405896
126481,Larus,argentatus,European Herring Gull,Stein . Nilsen,Norway,69.5667,18.6001,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,73.53578231292516
154285,Larus,argentatus,European Herring Gull,Fernand Deroussen,France,48.6869,-2.3157,"call, colony, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,53.951791383219955
125486,Larus,argentatus,European Herring Gull,Stein . Nilsen,Norway,69.5778,18.6401,"flight call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,38.25578231292517
102060,Linaria,cannabina,Common Linnet,Richard Dunn,United Kingdom,55.01,-1.898,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,152.50263038548752
125782,Linaria,cannabina,Common Linnet,david m,United Kingdom,54.1246,-0.5465,"call, female, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,251.03650793650795
145534,Linaria,cannabina,Common Linnet,Patrik berg,United Kingdom,52.9382,1.1089,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,102.16467120181406
83760,Locustella,fluviatilis,River Warbler,Kamil Cihak,Czech Republic,,,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,29.231791383219953
140557,Locustella,fluviatilis,River Warbler,Fernand DEROUSSEN,Poland,52.7362,23.7847,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,59.53283446712018
110303,Locustella,fluviatilis,River Warbler,Patrik berg,Sweden,58.6333,14.0843,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,94.17120181405896
94211,Loxia,curvirostra,Red Crossbill,Richard Dunn,United Kingdom,55.212,-2.043,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,68.20548752834468
94212,Loxia,curvirostra,Red Crossbill,Richard Dunn,United Kingdom,55.212,-2.043,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,26.043854875283447
99862,Loxia,curvirostra,Red Crossbill,Tony Whitehead,United Kingdom,50.651,-3.582,Call Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,66.8471201814059
123808,Luscinia,megarhynchos,Common Nightingale,david m,United Kingdom,51.9001,-0.5289,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.8014058956916
123810,Luscinia,megarhynchos,Common Nightingale,david m,United Kingdom,51.9001,-0.5289,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/,250.54018140589568
132580,Luscinia,megarhynchos,Common Nightingale,Kieran Nixon,United Kingdom,52.9515,1.0895,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,65.95918367346938
148426,Merops,apiaster,European Bee-eater,Patrik berg,Spain,39.8427,-5.9972,call,http://creativecommons.org/licenses/by-nc-sa/3.0/,67.1867120181406
141026,Merops,apiaster,European Bee-eater,Fernand DEROUSSEN,France,43.5722,4.5868,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,48.92734693877551
97194,Merops,apiaster,European Bee-eater,Rodolphe ALEXIS,Spain,,,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,41.37578231292517
125137,Motacilla,aguimp,African Pied Wagtail,Bram Piot,Zambia,-17.807,25.6894,"call, female, male",http://creativecommons.org/licenses/by-nc-sa/3.0/,56.86857142857143
41428,Motacilla,aguimp,African Pied Wagtail,Derek Solomon,Zambia,-13.0667,31.7834,Call,http://creativecommons.org/licenses/by-nc-nd/2.5/,26.409795918367347
118441,Motacilla,aguimp,African Pied Wagtail,Rory Nefdt,Zambia,-15.9259,29.0292,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,22.09936507936508
69792,Motacilla,flava,Western Yellow Wagtail,Louis A. hansen,Denmark,54.5667,11.96242,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/,34.15179138321995
102788,Motacilla,flava,Western Yellow Wagtail,Jarek Matusiak,Poland,51.338,22.965,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/,109.05578231292517
36637,Motacilla,flava,Western Yellow Wagtail,Rob van Bemmelen,Sweden,65.957,16.2078,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,38.71324263038549
103145,Muscicapa,striata,Spotted Flycatcher,maudoc,Italy,45.4191,10.8205,song,http://creativecommons.org/licenses/by-nc-nd/3.0/,36.72816326530612
134042,Muscicapa,striata,Spotted Flycatcher,Volker Arnold,Hungary,47.16,20.2228,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,26.723038548752836
139372,Muscicapa,striata,Spotted Flycatcher,Mats Rellmar,Sweden,56.0673,13.0125,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,43.77575963718821
27152,Oriolus,oriolus,Eurasian Golden Oriole,Patrik berg,Sweden,58.4834,14.5014,Song,http://creativecommons.org/licenses/by-nc-sa/3.0/,105.24712018140589
101377,Oriolus,oriolus,Eurasian Golden Oriole,Krzysiek Deoniziak,Poland,52.272,16.797,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,73.05578231292517
80356,Oriolus,oriolus,Eurasian Golden Oriole,Niels Krabbe,Sweden,55.6501,13.5667,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,45.008979591836734
122555,Parus,major,Great Tit,Ashley Fisher,United Kingdom,49.9222,-6.2917,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,36.46671201814059
94652,Parus,major,Great Tit,Richard Dunn,United Kingdom,55.129,-1.873,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,15.176916099773242
71454,Parus,major,Great Tit,Richard Dunn,United Kingdom,55.219,-1.765,song,http://creativecommons.org/licenses/by-nc-nd/2.5/,57.75650793650794
134291,Passer,domesticus,House Sparrow,Lars Lachmann,Germany,52.7877,9.1168,"call, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,34.16816326530612
151150,Passer,domesticus,House Sparrow,Jarek Matusiak,Poland,52.6646,23.5784,"male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/,49.223786848072564
29766,Passer,domesticus,House Sparrow,Stuart Fisher,United Kingdom,52.7601,0.2973,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/,53.05446712018141
143465,Passer,montanus,Eurasian Tree Sparrow,Buhl Johannes,Germany,48.2976,10.9317,song,http://creativecommons.org/licenses/by-nc-sa/3.0/,184.29578231292518
